title,popular_rank,startYear,episodes,language,origin_country,plot,summary,rating,genres,cast,image_url,imdb_id
3%,856,2016,33,Portuguese,Brazil,"A post-apocalyptic thriller set in near-future Brazil, where a select few are allowed to join a privileged society after undergoing an intense and competitive process.",A world divided into progress and devastation. The link between the two sides - Offshore and Inland - is a rigorous and painstaking system called The Process. Everyone in Inland has a chance to go through The Process to live a better life in Offshore. But only 3% make it through.,7.4,Action.Drama.Sci-Fi,"['Bianca Comparato', 'Vaneza Oliveira', 'Rodolfo Valente', 'Zezé Motta', 'Rafael Lozano', 'Cynthia Senek', 'Bruno Fagundes', 'Laila Garin', 'Thais Lago', 'Fernanda Vasconcellos', 'Silvio Guindane', 'Celso Frateschi', 'João Miguel', 'Michel Gomes', 'Amanda Magalhães', 'Fátima Porphirio', 'Mel Fronckowiak', 'Ney Matogrosso']",https://m.media-amazon.com/images/M/MV5BNTY5NGYzYjAtZjMyOC00ODljLWI2ZDMtNzhmZDc3ZDQxMzc5XkEyXkFqcGdeQXVyMTkzODUwNzk@._V1_FMjpg_UX1000_.jpg,tt4922804
1983,2118,2018,8,Polish,Poland,"Decades after a 1983 terrorist attack, a law student and a cop uncover a conspiracy that's kept Poland as a police state and the Iron Curtain standing.","The deeply frozen Cold War is heating up. Twenty years after a devastating terrorist attack in 1983 that halted the course of Poland's liberation and the subsequent downfall of the Soviet Union, an idealistic law student and a disgraced police investigator stumble upon a conspiracy that has kept the Iron Curtain standing and Poland living under a repressive police state. Now, in 2003, after two decades of peace and prosperity, the leaders of the regime enact a secret plan made with an unlikely adversary in the 1980s that will radically transform Poland and affect the lives of every citizen in the nation - and the world. What these two men discover has the potential to ignite a revolution and those in power will stop at nothing to keep it a secret. —ahmetkozan",6.8,Crime.Drama.Thriller,"['Robert Wieckiewicz', 'Maciej Musial', 'Michalina Olszanska', 'Andrzej Chyra', 'Zofia Wichlacz', 'Krzysztof Wach', 'David Errigo Jr.', 'Agnieszka Zulewska', 'Ewa Blaszczyk', 'Miroslaw Zbrojewicz', 'Vu Le Hong', 'Wojciech Kalarus', 'Tomasz Wlosok', 'Julian Swiezewski', 'Bartosz Cao', 'Karol Hoang', 'Edyta Olszówka', 'Grzegorz Wons']",https://m.media-amazon.com/images/M/MV5BNTZiNWU2NzctYmIxNy00MDZlLWJmZTEtOTkxZjUyMjhjYmNhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_FMjpg_UX1000_.jpg,tt7371666
1994,4514,2019,5,Spanish,Mexico,"Archival video and new interviews provide an investigative look at Mexican politics in 1994, a year marked by the assassination of Luis Donaldo Colosio.","Archival video and new interviews provide an investigative look at Mexican politics in 1994, a year marked by the assassination of Luis Donaldo Colosio.",7.6,Documentary.History,"['Rafael Sebastián Guillén Vicente', 'Carlos Salinas de Gortari']",https://m.media-amazon.com/images/M/MV5BMWJhMzg4OGEtYzZiMC00NWY5LTgwMzktMmJiNTU1MTZiOTBiXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_FMjpg_UX1000_.jpg,tt10243640
(Un)Well,3443,2020,6,English,United States,"This docu-series takes a deep dive into the lucrative wellness industry, which touts health and healing. But do these wellness trends live up to their promises?","This docu-series takes a deep dive into the lucrative wellness industry, which touts health and healing. But do these wellness trends live up to their promises?",6.4,Documentary,['Jennifer Julian'],https://m.media-amazon.com/images/M/MV5BZDRjMWUxMmYtOTNjOC00MWQ2LWEzYjktZTI5MzM4NzkwMTFmXkEyXkFqcGdeQXVyNjEwNTM2Mzc@._V1_FMjpg_UX1000_.jpg,tt12759384
"1,000,000 yen no Onnatachi",3139,2017,12,Japanese,Japan,"A frustrated writer has arranged his home for 5 mysterious women, who all pay him a million yen as rent. What is the story behind this unusual arrangement?","A frustrated writer has arranged his home for 5 mysterious women, who all pay him a million yen as rent. What is the story behind this unusual arrangement?",7.5,Comedy.Drama.Mystery,"['Yôjirô Noda', 'Rila Fukushima', 'Rena Matsui', 'Miwako Wagatsuma', 'Rena Takeda', 'Yûko Araki', 'Tetsuhiro Ikeda', 'Yûya Endô', 'Kaito Yoshimura', 'Moeka Hoshi', 'Juri Ihata', 'Mariko Tsutsui', 'Kanji Furutachi', 'Takashi Yamanaka', 'Tomoya Nakamura', 'Lily Franky']",https://m.media-amazon.com/images/M/MV5BMzA5MWM5NWEtZjUyYy00MjU0LThhNGQtYzczZmU4MDFmZGM0XkEyXkFqcGdeQXVyMjIwNjIzOTY@._V1_FMjpg_UX1000_.jpg,tt6686450
100 días para enamorarnos,1648,2020,92,Spanish,United States,"Two couples who struggle to be near each other decide to give another chance for each other, 100 days for them to fall back in love.","Two couples who struggle to be near each other decide to give another chance for each other, 100 days for them to fall back in love.",6.9,Comedy,"['Ilse Salas', 'Mariana Treviño', 'Erick Elias', 'David Chocarro', 'Macarena Garcia Romero', 'Sylvia Saenz', 'Héctor Suárez Gomiz', 'Xabiani Ponce de León', 'Andrés Almeida', 'Lucas Velazquez', 'Sofía Lama', 'Humberto Zurita', 'Manuel Balbi', 'Thamara Aguilar', 'Gael Sánchez', 'Fernanda Urdapilleta', 'Macaria', 'Beatriz Monroy']",https://m.media-amazon.com/images/M/MV5BYjEwM2ZiZjItMjJhNC00ZTEzLTgwMmQtYTdlNWViN2NiY2Q3XkEyXkFqcGdeQXVyMTkwNjMwNTc@._V1_FMjpg_UX1000_.jpg,tt11243606
100 Humans,2519,2020,8,English,United States,"A social experiment where 100 individuals will be a part of interactive experiments exploring sex, happiness, torture and all the other aspects of being human.","A social experiment where 100 individuals will be a part of interactive experiments exploring sex, happiness, torture and all the other aspects of being human.",5.7,Reality-TV,"['Komalpreet Kaur Batth', 'Haley Bockrath', 'Dylan George', 'Braxton Hale', 'Emanuel Hernandez', 'Zainab Johnson', 'Alley Kerr', 'Lakrishi Kindred', 'Jessica-Lee Korkes', 'Charlotte Laws', 'Aaron Louie', 'Sammy Obeid', 'Aneiszka Sea', 'Tyanta Snow', 'Alan Squats', 'Alfredo Tavares', 'Alie Ward', 'Ryan Zamo']",https://m.media-amazon.com/images/M/MV5BY2Q2Zjc3NmUtNWEyNS00OGIzLTk3YzQtYTQ5OTI2NTFhNjkyXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_FMjpg_UX1000_.jpg,tt11823088
100% Hotter,3605,2016,39,English,United Kingdom,"A make-under rather than a make-over show, targeting people whose style is so in your face you cannot help stop and stare while their family and friends squirm with embarrassment.","A make-under rather than a make-over show, targeting people whose style is so in your face you cannot help stop and stare while their family and friends squirm with embarrassment.",4.4,Reality-TV,"['Daniel Palmer', 'Melissa Sophia', 'Karen Williams', 'Zoe Hardman', 'Laura Jackson', 'Grace Woodward', 'Holly Hagan', 'Lauren Harries', 'Chloe Khan', 'Jemma Lucy', 'John McCririck', 'Kim Woodburn', 'Peter Woodburn', 'Christopher Biggins', 'Sandi Bogle', 'Gemma Collins', 'Charlotte Dawson', 'Chloe Ferry']",https://m.media-amazon.com/images/M/MV5BODQxY2FkMjMtZTg2OC00OTJmLTg0ZTItZGE3MjExMmE3OTUzXkEyXkFqcGdeQXVyNzIwNDMyODY@._V1_FMjpg_UX1000_.jpg,tt5819414
100-man no Inochi no Ue ni Ore wa Tatte Iru,3167,2020,13,Japanese,Japan,"Yotsuya Yuusuke along with his classmates Shindou Iu and Hakozaki Kusue have been transported to a strange and unknown world inhabited by mythological creatures. As soon as they arrive, they meet somebody calling himself... Read all","Yotsuya Yuusuke along with his classmates Shindou Iu and Hakozaki Kusue have been transported to a strange and unknown world inhabited by mythological creatures. As soon as they arrive, they meet somebody calling himself the Game Master who then grants them a time-limited quest. To aid them in this quest, he also bestows Shindou and Hakozaki with the roles of a Magician and a Warrior - while Yotsuya is randomly granted the role of a Farmer. This is how a hectic life of adventuring began for three students who now have no choice, but to complete random quests for several phases in the fantasy world if they want to stay alive and protect the real world from the demons and monsters they encounter.",6.4,Action.Adventure.Animation,"['Tara Sands', 'Makoto Koichi', 'Risa Kubota', 'Yûto Uemura', 'Azumi Waki', 'Cristina Valenzuela', 'Landon McDonald', 'Zeno Robinson', 'Valeria Rodriguez', 'Jeannie Tirado']",https://m.media-amazon.com/images/M/MV5BNDZiZDVmMzQtZDYyOC00YTQ4LWFlZmUtNzlmNjQ1NTkzN2FhXkEyXkFqcGdeQXVyMzgxODM4NjM@._V1_FMjpg_UX1000_.jpg,tt12706854
12 Monkeys,528,2015,47,English,United States,Follows the journey of a time traveler from the post-apocalyptic future who appears in present day on a mission to locate and eradicate the source of a deadly plague that will nearly destroy the human race.,"In the year 2043, scavenger James Cole (Aaron Stanford) has been recruited by a team of ""Project Splinter"" scientists led by physicist Katarina Jones (Barbara Sukowa), to travel back in time to the year 2015, and stop the release of a deadly virus by the enigmatic organization known as the ""Army of the 12 Monkeys"". In Cole's original time-line, the virus caused a plague that resulted in the death of seven billion humans in the year 2017, and its on-going mutations will mean the eventual end of the human race. In the 2015 time-line, Cole will meet and enlist the help of brilliant virologist Dr. Cassandra ""Cassie"" Railly (Amanda Schull); the two are brought together because a recording mentioning Cole, that Cassie made after the viral outbreak, is uncovered by Jones in the future time-line, prompting her to select Cole for the mission. Cole will also encounter a seemingly unstable math genius named Jennifer Goines (Emily Hampshire), whose father Cole has been tasked to kill, Cassie's ex-boyfriend Aaron Marker (Noah Bean), and the dangerous high-ranking members of the Army of the 12 Monkeys, ""Pallid Man"" (Tom Noonan) and Olivia (Alisen Down). In the future time-line, Cole will also have to deal with his best friend José Ramse (Kirk Acevedo), and a man named Theodore Deacon (Todd Stashwick), who leads a brutal pack of scavengers from which Cole and Ramse fled. Meanwhile, Cole and Cassie will try to unveil the identity and whereabouts of the mysterious leader of the Army of the 12 Monkeys, who is only known as ""The Witness"", and is always one step ahead of them. —ahmetkozan",7.7,Adventure.Drama.Mystery,"['Aaron Stanford', 'Amanda Schull', 'Noah Bean', 'Barbara Sukowa', 'Emily Hampshire', 'Todd Stashwick', 'Andrew Gillies', 'Kirk Acevedo', 'Alisen Down', 'Demore Barnes', 'Murray Furrow', 'Brooke Williams', 'Tom Noonan', 'Peter DaCunha', 'Faran Tahir', 'Scottie Thompson', 'Michael Hogan', 'Ayisha Issa']",https://m.media-amazon.com/images/M/MV5BMTkwOTcxNzMzOV5BMl5BanBnXkFtZTgwODYxNjg0ODE@._V1_FMjpg_UX1000_.jpg,tt3148266
